RecAreaAddressID,RecAreaID,RecAreaAddressType,RecAreaStreetAddress1,RecAreaStreetAddress2,RecAreaStreetAddress3,City,PostalCode,AddressStateCode,AddressCountryCode,LastUpdatedDate
10000411,10000410,Default,Prineville District Office,3050 NE 3rd Street,,Prineville,OR,97754,USA,2022-07-01
10001001,10001000,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-09-10
10001025,10001024,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-09-10
10001052,10001051,Default,Kingman Field Office,2755 Mission Boulevard,,Kingman,AZ,86401,USA,2020-09-10
10003302,10003301,Default,22 Bear Creek Lake Rd.,,,Cumberland,VA,23040,USA,2020-09-10
10003317,10003316,Default,Prineville District Office,3050 NE 3rd Street,,Prineville,OR,97754,USA,2022-07-01
10003639,10003638,Default,,,,Samoa,CA,95564,USA,2020-09-10
10003969,10003968,Default,,,,,CA,95441,USA,2021-10-28
10003971,10003970,Default,,Light House Road,,Point Arena,CA,95468,USA,2022-11-07
10004006,10004005,Default,,Berryessa Knoxville Road,,Napa,CA,94558,USA,2021-02-20
10004008,10004007,Default,,,,Indian Valley Reservoir,CA,95987,USA,2021-10-29
10004386,10004385,Default,,Berryessa Knoxville Road,,Napa,CA,94558,USA,2021-10-28
10004398,10004397,Default,,,,Indian Valley Reservoir,CA,95987,USA,2022-06-28
10004720,10004719,Default,,,,Lakeport,CA,95453,USA,2022-06-28
10004876,10004875,Default,Mendo-Lake Rd,,,Ukiah,CA,95482,USA,2022-09-26
10005019,13924,Mailing,Ellis Island Receiving Center,Statue of Liberty National Monument,,Jersey City,NJ,07305     ,USA,2021-09-23
10005516,10005515,Default,Prineville District Office,3050 NE 3rd Street,,Prineville,OR,97754,USA,2020-09-10
10009143,2590,Mailing,6044 FM 420,,,Kountze,TX,77625,USA,2022-10-03
10011716,10011715,Default,396120 St. Hwy 10,,,Copan,OK,74022,USA,2022-08-29
10011748,1096,Default,,,,,AZ,,USA,2021-09-23
10012145,10012144,Default,21605 North 7th Avenue,,,Phoenix,AZ,85027-2929,USA,2021-09-23
10014596,14909,Physical,706 Craven Street,,,Beaufort,SC,29902,USA,2021-09-23
10037738,1025,Default,,,,,ID,,USA,2022-02-08
10038479,10038478,Default,82 East Dogwood Avenue,,,Moab,UT,84532,USA,2020-09-10
10038579,10038578,Default,Grants Pass Interagency Office,2164 NE Spalding Avenue,,Grants Pass,OR,97526,USA,2021-04-02
10038607,10038606,Default,Grants Pass Interagency Office,2164 NE Spalding Avenue,,Grants Pass,OR,97526,USA,2020-09-10
10039569,14519,Mailing,601 Nevada Way,,,Boulder City,NV,89005,USA,2021-09-23
10039799,10039798,Default,Grants Pass Interagency Office,2164 NE Spalding Avenue,,Grants Pass,OR,97526,USA,2021-10-26
10041119,2736,Mailing,266 Warren Lane,,,Deer Lodge,MT,59722,USA,2021-09-23
10052861,10034,Default,Roseburg District Office,777 N.W. Garden Valley Boulevard,,Roseburg,OR,97471,USA,2022-06-27
10053303,10053302,Default,Wenatchee Field Office,915 N. Walla Walla,,Wenatchee,WA,98801,USA,2021-02-25
10053445,10053444,Default,Ridgecrest Field Office,,300 S Richmond Rd,Ridgecrest,CA,93555,USA,2020-09-10
10053449,10053448,Default,Ridgecrest Field Office,300 S. Richmond Rd.,,Ridgecrest,CA,93555,USA,2020-10-26
10054997,10054996,Default,Northwest Oregon District Office,"1717 Fabry Road, SE",,Salem,OR,97306,USA,2020-12-02
10057632,10057631,Default,Northwest Oregon District Office,"1717 Fabry Rd, SE",,Salem,OR,97306,USA,2020-09-10
10060295,2764,Mailing,8075 Old Sauk Pass Rd.,,,Cross Plains,WI,53528,USA,2021-09-23
10062173,10062172,Default,Bureau of Land Management,Central Coast Field Office,940 2nd Ave,Marina,CA,93933,USA,2022-11-02
10062379,10062378,Default,,,,Weiser,ID,83672,USA,2020-09-10
10063263,10044043,Physical,Ste. Genevieve National Historical Park,99 S. Main Street,,Ste. Genevieve,MO,63670     ,USA,2022-08-18
10063295,10063294,Default,Lake Havasu Field Office,1785 Kiowa Avenue,,Lake Havasu City,AZ,86403,USA,2022-08-17
10067985,10067984,Default,1800 Marquess Street,,,Las Cruces,NM,88005,USA,2021-02-25
10068732,10068731,Default,Las Cruces District Office,1800 Marquess Street,,Las Cruces,NM,88005,USA,2021-01-29
10071677,10071676,Default," "," "," "," ",UT,84741,USA,2021-09-23
10073562,10073561,Default,365 N Main St.,PO Box 7,,Monticello,UT,84535,USA,2021-02-03
10073564,10073563,Default,365 N Main St.,PO Box 7,,Monticello,UT,84535,USA,2021-02-03
10073568,10073567,Default,365 N Main St.,PO Box 7,,Monticello,UT,84535,USA,2021-09-23
10082497,10082496,Default,21605 N. 7th Ave,,,Phoenix,AZ,85027,USA,2021-02-03
10085275,2809,Mailing,4322 Little River Trail NE Ste 100,,,Fort Payne,AL,35967,USA,2022-04-02
10085356,10085355,Default,1800 Marquess Street,,,Las Cruces,NM,88005,USA,2021-02-03
10085371,10085370,Default,1800 Marquess Street,,,Las Cruces,NM,88005,USA,2021-02-03
10085378,10085377,Default,1800 Marquess Street,,,Las Cruces,NM,88005,USA,2021-02-03
10087593,2991,Physical,9039 Village Drive,,,Yosemite National Park,CA,95389,USA,2022-10-01
10088182,14907,Mailing,520 16th Street North,Birmingham Civil Rights Institute,Attn: Superintendent,Birmingham,AL,35203,USA,2021-09-23
10088765,2673,Mailing,HC 61 Box 43,,,Ramah,NM,87321     ,USA,2022-08-21
1009,2168,Default,Northern Puget Sound,,,San Juan County,WA,,USA,2020-12-09
10091111,14907,Physical,A.G. Gaston Motel,1520 5th Avenue North,,Birmingham,AL,35203,USA,2021-09-23
10093164,10093163,Default,Prineville District Office,3050 NE 3rd Street,,Prineville,OR,97754,USA,2021-04-01
1011,2176,Default,1 mile off shore from ,,,Oceanside,OR,,USA,2020-12-09
10112013,2994,Mailing,Zion National Park,1 Zion Park Blvd.,State Route 9,Springdale,UT,84767,USA,2022-11-28
10112031,2883,Mailing,19000 Caves Hwy,,,Cave Junction,OR,97523,USA,2021-09-23
10118195,13538,Mailing,Washington-Rochambeau National Historic Trail,,1400 North Outer Line Drive,King of Prussia,PA,19406,USA,2021-09-23
10122883,14907,Mailing,"1914 4th Avenue N., Suite 440",,,Birmingham,AL,35203,USA,2021-09-23
10123992,2583,Mailing,35110 State Highway 194,,,La Junta,CO,81050,USA,2021-09-23
10128464,2991,Physical,9039 Village Drive,,,Yosemite,CA,95389,USA,2022-10-01
10129438,10129433,Physical,"1493 Pennsylvania Avenue NW,",,,Washington,DC,20004,USA,2021-09-30
10135924,2831,Mailing,2701 Barstow Road,,,Barstow,CA,92311,USA,2022-03-24
10136116,10136115,Default,Border Field Office,1103 N. Fancher Road,,Spokane,WA,99212,USA,2021-10-13
10136324,10136323,Default,Border Field Office,1103 N. Fancher Road,,Spokane,WA,99212,USA,2021-10-13
10136918,10136917,Default,Border Field Office,1103 N. Fancher Road,,Spokane,WA,99212,USA,2021-10-13
10139796,10139795,Default,1802 Hursley Ct,,,Vienna,VA,22192-2222,USA,2021-09-01
