TourID,FacilityID,TourName,TourType,TourDescription,TourDuration,TourAccessible,CreatedDate,LastUpdatedDate
100,234640,Grand Avenue,Cave Tour,"Dramatic cave changes, dry cave vs. damp cave, gypsum, dripstone, and early exploration.",240,false,2014-05-02,2018-06-14
1006,250029,White House Easter Egg Roll,Historic Tour,White House Easter Egg Roll,0,true,2019-01-01,2018-01-01
10063833,10063832,Cape Lookout National Seashore Duck Blind Lottery Event,Nature Tour,Cape Lookout Duck Blind Event,1,false,2020-08-24,2020-08-24
10063834,10063832,Cape Lookout National Seashore Duck Blind Lottery,Nature Tour,Cape Lookout Duck Blind Event,1,false,2020-08-24,2020-08-24
10065449,10065448,Day Use Entry,Nature Tour,,540,false,2020-07-28,2020-07-28
1007,250029,White House Easter Egg Roll,Historic Tour,White House Easter Egg Roll,0,true,2019-01-01,2018-01-01
10072051,10072050,Stars Over Sand Beach,Nature Tour,"Maine’s striking coastline is often admired for its rugged rocks. Relax on Acadia’s only true sand beach with uninterrupted views of the night sky while Park Rangers share significant stories to help discover the intricacies of the stars.  
Acadia's Sand Beach, located just off the Park Loop Road, is a unique and exceptionally dark location for stargazing. Come join rangers as they share the natural history, inspiring stories, and an orientation to the night skies of Down East Maine. 
Sand Beach is not handicapped-accessible. Bring a towel or chair and dress warmly. Please limit the use of flashlights and use the red light setting when possible. Bring bug spray as there are insects on the beach.
Space is limited and reservations are required; no walk-ups will be permitted.",60,false,2020-08-18,2022-05-16
10073377,10073376,Multnomah Falls Tickets,Nature Tour,Timed reservation ticket is a per person ticket to enter the site.  All visitors to Multnomah Falls including infants will require a ticket. You may reserve up to 6 tickets per day. Your ticket reservation does not guarantee you a parking space. 300 tickets will be initially allocated on an hourly basis between 9:00 a.m.-6:00 p.m. to facilitate social distancing.,60,true,2020-08-27,2022-05-05
10075178,10075177,Scenic Drive Vehicle Entry,Nature Tour,Provides access for one private vehicle or up to two motorcycles or scooters to access the Scenic Drive including the Visitor Center and  all designated parking areas along the route. The average time spent along the Scenic Drive is approximately 8 hours.,60,false,2020-09-28,2020-09-28
10075179,10075177,Scenic Drive RV/Trailer Entry,Nature Tour,"Provides access for one RV/Trailer to access the Scenic Drive including the Visitor Center and a limited number of parking areas including: Calico Vista 1 , Sandstone Quarry, The High Point Vista, Willow Spring, Lost Creek and Pine Creek Vista. Other locations along the Scenic Drive cannot accommodate vehicles longer than 20 feet. The average time spent along the Scenic Drive is approximately 4 hours.",60,false,2020-09-28,2020-09-28
10075180,10075177,Scenic Drive Walk-in/Bicycle Entry,Nature Tour,"A timed entry reservation is not required. Upon your arrival, please visit the entrance kiosk to pay your entrance fee or have your pass validated. Ebikes are included in the category.",60,false,2020-09-28,2020-09-28
10075181,10075177,Scenic Drive Fee-Free Day RV/Trailer Entry,Nature Tour,"Red Rock Canyon National Conservation Area participates in entrance fee-free days. On these significant days of celebration or commemoration, all entrance fees are waived. For all other days, please make a reservation under the Scenic Drive Vehicle Entry or other applicable entry option.",60,false,2020-09-28,2020-09-28
10075182,10075177,Scenic Drive Fee-Free Day RV/Trailer Entry,Nature Tour,"Red Rock Canyon National Conservation Area participates in entrance fee-free days. On these significant days of celebration or commemoration, all entrance fees are waived. For all other days, please make a reservation under the Scenic Drive Vehicle Entry or other applicable entry option.",60,false,2020-09-28,2020-09-28
10075183,10075177,Scenic Drive Commercial Vehicle Entry,Nature Tour,"Provides access for commercial operators with a valid Bureau of Land Management Special Recreation Permit (SRP) or commercial operators driving the Scenic Drive and will not be providing additional visitor services (guided hikes, climbing, etc.). Commercial operators with a valid SRP must present their permit at the entrance station along with the timed entry reservation ticket.  All commercial operators with a valid SRP are allowed to have up to five vehicle reservations per tour time. Every vehicle in your group must have a timed entry reservation ticket. Those commercial operators driving the Scenic Drive and not providing additional visitor services (guided hikes, climbing, etc.) are permited to have five vehicle reservations per day for non-permitted commercial tours. Every vehicle in your group must have a timed entry reservation ticket.	Large commercial vehicles may access the Scenic Drive including the Visitor Center and a limited number of parking areas including: Calico Vista 1 , Sandstone Quarry, The High Point Vista, Willow Spring, Lost Creek and Pine Creek Vista. Other locations along the Scenic Drive cannot accommodate vehicles longer than 25 feet.",60,false,2020-09-28,2020-09-28
10075184,10075177,"Scenic Drive Education, Therapeutic, and Scientific Group Entry",Nature Tour,"Non-commercial vehicles such as school/educational groups, therapeutic groups, and scientific groups may be required to obtain this type timed ticket. To reserve a timed ticket for your group, you must contact the Bureau of Land Management (BLM) Education Office at (702) 515-5353 for a letter of agreement.  BLM staff will then assist you with your timed ticket reservation.  Once you have secured a letter of agreement and timed ticket reservation through the Education Office, please be ready to show your letter of agreement and timed ticket reservation on your arrival date at the entrance station.",60,false,2020-09-28,2020-09-28
10075185,10075177,Scenic Drive Low Season,Nature Tour,Scenic Drive Low Season,60,false,2020-09-28,2020-09-28
1008,234787,Sunrise Photo Tour,Historic Tour,Sunrise Photo Tour ,60,true,2019-02-11,2019-02-11
10086516,10086515,1-Day Personal Vehicle Day Use Tickets,Nature Tour,"Cochiti Day Use Area is open to the public for swimming, boating and fishing. Social distancing and COVID safe practices must be followed to ensure a safe and enjoyable time while at the lake. Each private vehicle entering the day use area will need a reservation ticket. Only one day use reservation is required for the vehicle and all the occupants. Please take time to ensure you follow all Pueblo regulations, and do not trespass on lands closed to public access.",660,false,2020-10-30,2020-10-30
10086549,10086548,Self-Guided Museum Tour,Historic Tour,"Canyons of the Ancients Visitor Center and Museum is a museum focusing on Ancestral Puebloan, Native American, and historic cultures in the Four Corners region.  It is also headquarters for visitors traveling to Canyons of the Ancients National Monument.
The museum features:
•	Permanent exhibits on archaeology, local history, and Native American cultures
•	Two 12th-century archaeological sites (Ask about visiting these pueblos just outside of the museum)
•	Rotating special exhibits and events
•	Educational resources for teachers and families
•	Internships for enrolled and recently graduated college students
•	Research library of archaeology and anthropology resources
•	Research collection of almost 4 million artifacts and records from archaeological projects in Southwest Colorado
•	Picnic area and half-mile nature trail to Dominguez and Escalante Pueblos",60,false,2021-04-01,2021-04-01
10086685,10086684,Winter Locomotive Demonstration Tickets 2020,Historic Tour,This ticket permits one person on the date and time specified to enter the Last Spike Site to attend the Winter Steam Festival and locomotive demonstration area.,60,true,2020-12-18,2020-12-18
10086722,10086721,1-Day San Gabriel OHV Vehicle Tickets,Nature Tour,"Primary Ticket: allows one day of admitance to San Gabriel Canyon OHV area for a primary vehicle. 

Secondary Vehicle: allows one day of admitance to San Gabriel Canyon OHV area for a secondary vehicle. A secondary vehicle is any vehicle that is brought in on a trailer or hauled in another vehicle. In order for secondary ticket ot be valid it must be purcahsed in conjunction with a primary ticket purchase.",480,false,2021-06-07,2022-05-04
10086746,10086745,Day Use Entry,Hike,"Ticket is for day use arrival for YOSE, reservation is for specific day to enter and park will calculate 7 day pass manually",1080,true,2021-01-29,2021-01-29
10086747,10086745,Day Use Entry (Entrance Fee-Free Days),Hike,"<p>Yosemite National Park participates in the National Park Service’s (NPS) entrance fee-free days. On these significant days of celebration or commemoration, all entrance fees are waived. For all other days, please make a reservation under the  <a href=""https://www.r1s-dev.com/timed-entry/10086745/ticket/10086746"">Day Use Entry page</a></p><p><b>Remaining 2020 Entrance Fee-Free Days:</b></p><dl><dd>Tuesday, August 25 – National Park Service Birthday</dd><dd>Saturday, September 26 – National Public Lands Day</dd><dd>Wednesday, November 11 – Veterans Day</dd></dl><p>To learn more about NPS Entrance Fee-Free Days, visit: https://www.nps.gov/orgs/1207/2020-fee-free-days.htm</p>",1080,true,2021-01-29,2021-01-29
10086811,234637,Self-Guided Tour,Cave Tour,"NOTE: Timed-entry tickets ONLY reserve a time slot to enter the cave. All park visitors must purchase or present a valid National Park pass upon arrival. Please visit www.nps.gov/cave/planyourvisit/fees.htm for information on entrance passes.\n\nThere are two ways to enjoy the cavern on a Self-Guided Tour - either by elevator, hiking, or both. Visitors may choose to hike the steep one and a quarter mile paved trail entering through the caverns Natural Entrance,which leads them into the spectacular one and a quarter mile Big Room Trail. Alternatively, you can simply take an elevator ride from the visitor center directly to the start of the Big Room Trail.",120,false,2021-03-12,2021-03-12
10086847,10086846,Garnet Area Tickets,Nature Tour,Allows three hours of admittance to Emerald Creek Garnet Area. Tickets are issued per person.  Ticket holders must be present on the day and time of the reservation.  Late arrivals will not be allowed an extension beyond the originally scheduled three hours.,180,false,2021-03-10,2022-05-04
10086911,10086910,Bear Lake Rd Corridor + Full Park Access,Historic Tour,2450 - across two hour windows,180,false,2021-04-30,2021-04-30
10086912,10086910,Park Access (Excludes Bear Lake Rd Corridor),Historic Tour,Remaining quota populated into park access,180,true,2021-04-30,2021-04-30
10086914,10086913,Teklanika Road Permit,Nature Tour,"Access to drive the Denali Park Road as far as Mile 30 Teklanika Rest Area. Permits issued in one hour blocks, but traffic will be allowed to enter only in first 45 minutes of the hour. There is a 15 minute pause in traffic to allow a gap in traffic flow for wildlife.",120,false,2021-04-16,2021-04-16
10086915,10086913,Eielson Road Permit,Nature Tour,"Access to drive the Denali Park Road as far as Mile 66 Eielson Visitor Center. Permits issued in one hour blocks, but traffic will be allowed to enter only in first 45 minutes of the hour. There is a 15 minute pause in traffic each hour to allow a gap in traffic flow for wildlife.",480,false,2021-04-16,2021-04-16
